ID;s1i1;s1i2;s1i3;s1i4;s1i5;s1i6;s1i7;s1i8;s1i9;s2i1;s2i2;s2i3;s2i4;s2i5;s2i6;s2i7;s2i8;s2i9;s3i1;s3i2;s3i3;s3i4;s3i5;s3i6;s3i7;s3i8;s3i9;s4i1;s4i2;s4i3;s4i4;s4i5;s4i6;s4i7;s4i8;s4i9;s5i1;s5i2;s5i3;s5i4;s5i5;s5i6;s5i7;s5i8;s5i9;s6i1;s6i2;s6i3;s6i4;s6i5;s6i6;s6i7;s6i8;s6i9;s7i1;s7i2;s7i3;s7i4;s7i5;s7i6;s7i7;s7i8;s7i9;s8i1;s8i2;s8i3;s8i4;s8i5;s8i6;s8i7;s8i8;s8i9
010286FAGD212;4;2;1;4;1;2;4;3;1;3;2;2;4;3;3;4;3;2;4;4;2;2;2;4;4;3;4;2;2;3;4;3;4;2;1;3;1;3;2;2;2;4;3;1;1;1;1;1;2;3;1;3;4;2;3;4;3;1;2;3;2;3;2;2;1;4;2;3;4;3;1;4
010490FNGP138;1;2;1;1;2;3;4;1;4;4;1;2;5;4;2;3;4;5;4;4;1;2;1;3;4;3;5;2;4;3;4;4;2;1;2;2;4;4;3;1;3;2;2;1;4;4;2;2;4;2;2;4;5;4;3;4;4;1;2;3;2;3;4;4;2;2;5;5;2;4;4;1
010493FBBP186;3;2;4;2;1;2;4;2;3;2;2;2;4;3;4;3;3;2;4;3;3;1;4;5;4;3;4;3;3;3;4;2;4;2;2;3;4;4;2;2;4;4;2;3;3;2;1;1;5;1;2;4;4;4;2;4;3;1;2;3;1;4;4;4;4;3;4;3;3;3;2;2
010853MPAL226;4;2;4;1;2;2;4;2;4;4;2;2;4;4;4;4;4;2;4;4;2;1;2;2;4;4;4;4;3;4;4;4;4;2;2;2;4;2;4;2;2;2;2;2;4;4;2;2;4;2;4;4;4;4;2;4;2;2;2;2;2;4;4;2;2;2;4;4;4;2;4;4
011089FELM298;2;3;4;3;2;3;2;2;3;2;2;2;4;5;3;4;4;1;4;4;3;2;2;4;4;4;4;4;3;3;4;4;3;2;2;2;3;4;4;2;2;4;3;2;4;2;2;2;4;3;3;4;4;3;3;4;3;2;2;3;2;4;4;3;3;2;3;3;4;3;4;3
020388mfal034;4;2;4;4;4;3;2;4;2;4;2;2;4;2;2;2;2;2;4;4;2;1;2;4;4;2;4;4;4;2;4;4;4;4;2;4;4;4;4;4;4;2;2;2;2;2;4;4;4;2;2;4;4;2;4;4;4;2;4;4;2;2;2;4;4;2;4;2;4;4;4;4
020690MPALO65;2;2;3;2;2;2;4;2;4;3;2;3;3;4;2;2;3;2;2;4;3;3;3;3;3;2;4;4;2;2;4;4;4;2;3;2;2;4;3;2;3;3;3;2;2;3;2;2;4;2;3;3;3;4;3;4;2;3;3;3;2;4;2;4;4;2;2;4;3;3;3;2
030282PFGM078;2;2;2;2;2;3;5;2;3;3;2;3;3;5;3;3;3;2;4;3;4;2;2;3;2;2;4;2;3;2;5;5;3;1;2;4;4;2;2;1;1;1;1;1;5;2;2;3;4;4;2;3;2;5;2;3;2;1;3;3;1;4;4;2;2;3;4;4;4;2;3;4
030388MFCA342;1;1;1;1;4;2;1;1;2;5;1;1;5;5;5;5;5;1;3;4;1;1;1;3;5;5;5;3;3;3;5;5;3;1;1;1;3;3;5;1;3;3;1;1;5;2;1;1;5;1;1;3;5;5;2;3;3;1;2;3;1;5;5;1;1;1;5;5;5;3;1;1
030490FFRS132;3;2;4;1;1;3;2;3;4;3;2;2;2;3;3;3;4;2;3;4;2;1;1;3;3;2;2;2;3;3;4;4;3;1;2;2;3;3;4;1;3;3;2;2;3;2;2;2;3;3;3;3;4;4;2;3;4;2;2;2;2;3;4;4;2;2;2;2;2;3;3;3
030587FEMM175;4;4;5;3;2;4;4;2;2;3;2;3;2;4;4;4;4;2;3;4;4;2;2;5;4;4;3;4;4;3;4;5;4;2;2;2;3;4;5;2;2;3;2;2;4;2;2;3;3;2;2;4;3;4;3;4;2;2;2;3;2;4;4;4;4;2;2;4;5;4;3;3
030780FFEM199;1;2;4;1;1;1;5;1;2;2;1;1;3;5;4;5;5;1;2;5;1;1;1;3;5;5;5;2;4;2;3;4;3;1;1;2;5;5;4;2;2;4;4;2;2;2;1;1;2;1;3;5;5;5;1;5;4;1;1;1;1;4;5;2;4;2;2;3;4;4;3;4
030990FPRA188;1;4;3;3;3;3;4;1;4;4;1;1;5;4;3;2;4;1;3;4;2;1;1;4;4;4;2;2;2;4;4;4;2;5;5;2;4;2;4;1;4;1;1;1;5;2;1;1;4;2;2;4;5;4;4;4;2;5;5;2;1;4;4;2;1;1;4;2;2;4;5;4
040690ffmb123;4;5;2;2;2;2;5;4;5;2;1;1;2;5;2;5;5;1;2;5;1;1;1;3;5;4;5;2;5;3;5;5;3;1;2;1;2;5;5;1;2;4;1;1;5;1;1;1;1;2;2;5;5;3;3;5;1;1;1;2;1;5;5;4;2;1;5;5;2;4;5;2
040791FBRR008 ;2;4;3;2;4;4;2;2;2;3;2;2;4;4;3;4;3;2;3;4;2;1;2;4;4;3;4;2;3;4;4;4;2;1;2;2;4;4;4;2;2;4;2;1;4;5;2;3;2;4;2;4;5;4;4;4;3;2;3;3;2;4;4;4;3;4;2;2;4;2;3;4
040886FMPM067;1;4;4;1;1;4;5;1;5;4;1;1;5;4;3;4;2;1;4;5;2;1;1;4;5;4;5;4;2;5;5;5;3;1;1;1;3;2;2;1;1;4;1;1;4;2;1;1;4;1;3;4;5;5;2;5;1;1;2;2;1;5;5;4;2;2;4;4;4;4;5;2
040989MPSS183                    ;2;4;4;3;3;3;2;2;3;3;2;2;4;3;3;4;3;2;2;3;2;2;4;2;5;4;4;4;2;2;2;4;4;1;1;2;4;2;3;3;2;2;2;1;4;2;2;3;2;2;3;2;4;4;2;2;2;2;3;2;2;4;4;4;4;2;2;3;3;2;2;2
041088FRGG238;4;2;4;2;2;2;4;2;2;2;2;2;2;2;4;3;3;2;3;4;3;2;3;4;4;3;4;3;2;3;4;4;3;3;3;2;2;4;3;2;3;4;2;3;3;2;3;2;3;3;3;2;4;3;3;3;3;2;2;3;2;3;4;4;3;2;3;4;3;4;3;3
041096FFDF081;5;4;5;2;2;3;5;1;4;4;3;4;2;5;4;4;5;1;3;5;1;1;2;3;5;4;5;3;4;4;5;4;3;1;1;2;4;4;5;2;2;3;1;1;5;3;1;2;5;2;3;5;5;4;3;5;2;1;2;3;1;5;4;5;3;2;4;5;3;5;5;2
041285MCLE123;2;3;4;2;1;1;5;4;2;4;2;2;2;4;2;4;5;2;4;4;2;2;2;4;4;4;5;4;4;3;4;5;2;1;2;3;2;4;4;2;3;4;2;1;5;1;4;3;2;2;3;4;4;3;3;4;5;3;2;3;2;2;2;3;4;4;4;4;2;4;5;4
050476FLTF210;2;5;5;4;2;3;5;1;4;5;3;2;3;4;3;5;5;2;5;5;2;1;2;3;1;1;1;3;5;4;2;3;3;1;1;1;4;3;3;4;3;4;2;2;1;5;2;3;1;1;4;5;1;1;5;5;3;1;1;3;1;3;5;5;5;4;4;3;4;3;5;5
050686MESD138;4;3;3;3;2;3;5;1;2;2;1;1;3;4;3;3;2;1;3;3;2;2;1;3;4;2;4;4;4;3;3;4;3;1;1;2;4;4;4;2;2;2;1;1;4;4;1;2;4;2;3;4;4;2;3;4;2;1;2;2;1;5;4;3;2;1;2;3;4;2;2;2
050788FBAG110;2;2;2;1;1;1;4;2;2;3;2;2;4;5;2;4;4;1;4;4;2;2;1;4;4;3;4;2;3;3;4;4;3;1;2;3;3;4;4;2;1;3;2;3;5;3;2;2;4;2;3;4;4;5;3;4;3;2;2;3;2;4;5;3;4;3;3;3;3;3;4;3
051190FRRG100;2;1;2;2;4;3;4;1;2;3;1;2;4;3;3;3;2;3;3;3;4;2;3;3;4;2;3;2;3;3;2;3;3;2;2;4;2;4;4;4;4;2;4;2;4;2;2;2;4;3;3;4;4;3;2;3;2;4;4;3;2;4;2;4;2;2;2;2;4;4;3;4
051288FFOG117;1;1;5;3;2;3;4;3;1;2;4;4;2;2;3;3;3;4;4;3;4;3;4;5;3;2;2;3;2;3;2;1;4;5;3;5;2;4;4;2;2;1;2;1;5;1;2;4;4;4;2;3;2;2;3;4;5;2;2;2;1;5;3;3;2;3;2;1;4;5;2;5
060289FTTD146;3;2;4;1;4;3;4;2;2;3;2;2;2;3;3;3;3;1;2;4;3;2;3;3;4;3;4;2;3;4;4;3;2;2;2;2;2;3;3;2;3;4;2;2;3;2;2;2;4;2;3;4;5;5;4;3;2;1;1;1;2;4;4;4;2;2;2;4;3;4;2;2
060690FPMG157;2;3;2;2;3;2;3;2;4;3;2;2;3;4;3;3;2;3;4;4;2;2;2;4;4;4;4;3;3;3;3;2;3;3;3;3;3;4;3;2;2;2;3;2;3;2;2;2;2;2;3;4;4;3;3;3;2;2;2;3;2;4;3;2;3;2;3;3;3;3;3;3
060796FBVF093;3;4;3;2;4;4;3;3;4;4;2;2;3;4;4;4;4;2;4;4;2;2;2;4;4;4;4;3;3;3;4;4;3;2;2;3;3;4;4;2;2;3;2;2;4;3;2;2;2;2;3;4;4;4;3;4;3;2;3;2;2;4;4;4;3;2;4;3;2;3;4;3
061090FSMF033;2;4;3;2;1;2;4;2;2;4;1;1;2;3;4;4;5;3;4;4;2;1;1;4;5;4;4;2;3;3;2;4;4;1;1;4;2;4;4;2;1;3;1;2;3;2;2;3;2;2;2;4;4;4;2;4;2;2;2;2;1;4;4;4;4;1;1;5;1;3;2;2
070164MLAA496;1;1;5;1;4;4;5;1;1;1;1;1;5;5;5;5;2;1;1;2;1;1;1;1;5;5;5;1;1;1;5;5;5;1;1;1;5;5;5;1;1;1;1;1;5;1;1;1;5;1;1;5;1;5;1;5;1;1;1;1;1;4;5;1;1;1;5;5;2;1;4;1
070384FFIA168;4;2;5;4;2;1;3;3;3;4;2;2;2;3;3;2;4;2;3;2;1;2;4;4;3;2;1;2;3;4;3;4;2;2;3;3;2;4;4;4;4;2;3;3;4;2;4;2;3;4;4;3;4;2;4;4;4;2;2;3;2;3;4;5;5;3;4;4;2;4;5;3
080481MVAC205;1;4;4;5;5;4;1;2;4;3;2;2;3;2;3;4;3;3;4;4;5;2;3;4;5;4;2;2;3;3;2;4;4;1;2;2;3;4;3;2;3;2;2;2;2;2;2;4;2;4;2;2;2;2;1;4;3;2;1;1;1;4;4;1;4;1;4;4;2;3;2;4
080585mfca152;4;3;4;4;2;2;3;1;5;2;1;3;3;2;3;4;2;2;4;4;3;4;2;4;1;3;1;4;3;5;2;5;3;1;1;2;5;4;4;3;1;5;3;1;4;3;1;1;3;4;3;4;5;3;3;3;1;1;1;3;2;4;5;3;5;4;2;4;3;4;5;3
080689FBAG145;4;4;4;4;4;3;4;2;2;2;2;2;4;2;4;3;4;4;3;4;2;3;3;4;4;2;3;2;4;4;3;4;2;2;2;4;2;2;3;2;2;2;3;2;3;3;2;3;4;2;3;4;4;4;4;2;2;2;2;3;2;5;3;4;2;2;3;4;2;4;3;4
080689FPEB085 ;4;2;3;2;1;1;5;2;1;3;1;1;4;4;3;2;3;2;4;4;2;2;1;3;1;4;4;4;1;3;5;5;3;1;1;2;3;5;3;1;3;3;1;1;2;2;2;2;5;3;2;5;5;4;1;5;4;1;1;2;1;4;3;3;5;1;5;5;4;1;5;3
080689MRRD243;1;1;5;1;1;1;3;1;1;2;1;1;2;4;5;5;5;1;5;5;2;1;1;5;5;4;4;3;4;3;5;5;5;5;1;1;5;5;5;1;1;4;1;1;5;1;1;1;5;1;3;3;5;1;1;5;1;1;1;1;1;5;1;4;4;1;5;5;1;1;5;1
081277MCRV136;2;2;3;1;1;2;4;2;2;3;2;2;4;4;4;4;3;2;4;4;4;2;2;4;5;2;5;3;4;3;4;5;4;1;4;2;4;2;3;2;2;3;2;2;4;2;2;4;4;2;2;3;3;5;3;5;4;2;2;1;2;4;5;4;4;1;4;4;2;4;5;2
090390MALG132;2;4;3;4;4;2;1;3;2;5;1;2;4;5;4;4;3;1;5;5;3;2;4;5;5;3;4;3;2;1;5;4;4;1;3;4;3;4;5;2;1;4;1;1;5;1;1;1;3;4;2;4;5;3;1;4;3;1;2;3;1;4;4;5;2;1;2;4;4;3;3;4
090587FPMR068;5;4;3;3;2;3;2;3;5;3;3;2;2;5;4;4;4;2;5;3;2;2;2;5;3;2;5;3;3;4;4;4;4;2;2;2;3;2;2;2;2;3;2;2;2;2;2;2;3;3;2;4;4;5;2;4;3;2;2;3;2;5;5;4;4;3;3;4;3;4;3;3
090789FEBS156;4;1;3;2;3;3;4;1;3;3;1;1;2;5;3;3;3;2;3;3;3;2;2;3;4;3;4;4;3;2;5;5;3;1;1;2;3;3;5;1;2;3;2;1;5;2;1;2;4;3;3;5;4;3;3;4;3;1;2;2;1;4;4;4;3;2;4;4;3;2;3;2
090888FPLG182;2;3;2;4;2;2;4;2;3;4;2;2;4;4;4;4;2;2;1;4;4;2;2;2;5;3;3;2;3;2;4;2;4;2;2;4;5;5;2;4;2;2;2;1;3;2;3;4;4;4;2;2;3;2;3;4;2;2;2;3;2;4;4;5;2;3;1;4;2;3;3;2
091090FLBP125;2;2;2;1;1;2;4;2;2;3;1;2;3;4;3;3;3;2;3;3;2;2;1;3;4;3;4;3;2;3;4;3;3;2;3;2;3;3;3;2;2;3;2;2;4;3;1;3;3;2;3;3;3;4;3;3;3;2;3;3;1;3;3;3;2;2;3;4;2;3;3;2
091287FMGG030;3;2;4;2;2;2;4;2;3;3;1;1;5;5;3;4;3;1;3;4;2;1;1;3;5;3;3;3;3;3;5;5;3;1;1;1;3;2;3;1;1;3;1;1;3;2;1;2;1;2;3;4;5;2;3;4;3;1;1;1;1;4;3;4;2;2;3;4;3;3;3;3
100196FFBS234;2;2;4;2;2;3;4;2;3;3;2;2;3;5;4;4;4;1;3;3;2;2;2;4;4;4;4;3;3;3;4;3;3;2;2;2;4;2;4;2;3;4;3;2;3;2;2;2;4;2;2;3;4;4;3;3;2;2;2;2;1;4;4;4;3;2;3;3;2;3;4;3
100290METC191;2;2;3;4;3;3;5;3;3;2;2;3;3;3;3;3;2;2;4;4;2;2;4;4;4;4;3;2;3;1;3;2;4;1;1;3;1;4;2;3;5;4;2;4;2;2;2;3;3;3;2;3;2;4;2;3;1;2;3;3;2;3;4;2;3;2;2;1;4;2;3;4
100985LCTF310;2;3;4;3;1;2;3;3;2;3;2;2;3;4;3;3;4;1;3;4;3;3;1;3;4;3;5;3;3;3;4;5;3;1;3;1;3;3;3;2;1;3;3;3;4;3;3;3;3;2;3;3;3;4;3;3;3;2;2;3;3;3;4;3;4;3;2;5;3;3;3;2
101193MFPP147;3;2;5;3;2;2;5;2;5;5;3;2;4;5;3;2;2;1;2;5;3;2;1;2;5;5;5;4;3;3;5;5;3;2;2;2;3;4;4;1;2;2;1;1;5;3;2;2;2;2;3;3;4;4;3;4;3;1;1;1;1;4;5;4;2;2;4;4;3;2;4;3
110189MFGA071;2;2;1;2;2;2;4;2;3;2;1;1;5;4;2;2;4;1;3;3;1;1;1;3;5;4;5;3;3;3;5;5;2;1;1;2;3;2;3;1;2;3;2;1;3;3;1;2;4;2;3;3;5;4;3;3;2;1;2;2;1;4;3;3;2;2;3;4;3;3;3;2
110490FBSA123;2;3;1;4;3;3;3;2;2;2;2;1;4;4;4;4;3;2;4;4;2;1;2;4;4;4;5;2;2;3;4;4;4;2;2;3;2;3;4;1;1;2;3;2;2;1;2;2;4;3;2;4;3;4;1;4;2;2;3;3;2;5;3;2;2;1;4;4;3;2;4;3
110790FP4L063;1;4;1;4;3;3;4;4;2;3;2;3;4;3;3;2;3;3;4;2;4;2;4;4;3;2;3;2;2;2;2;2;4;3;3;4;4;2;2;3;4;4;4;3;2;2;3;4;3;4;2;2;3;2;2;2;3;3;3;4;3;3;2;2;4;3;3;2;4;5;2;4
110996FBDS299;2;3;4;2;1;2;4;1;4;3;2;3;4;4;2;3;4;2;4;4;3;2;1;3;4;4;5;3;3;3;4;5;4;2;2;2;2;3;4;1;2;2;2;1;4;2;2;2;3;1;3;3;4;4;2;3;2;2;1;3;2;5;5;4;3;2;4;4;3;2;4;2
120587LMFA185;4;3;1;3;1;3;3;1;4;1;3;3;3;3;2;3;2;3;3;4;2;2;1;2;4;4;5;5;4;3;5;5;2;1;2;1;3;4;2;4;4;4;4;3;4;4;3;2;4;4;4;3;4;2;3;3;3;1;2;2;1;4;5;3;4;3;2;3;4;4;4;4
120687MPBF017;2;5;1;4;3;2;3;4;4;1;1;2;5;5;5;4;5;1;4;2;3;2;2;5;4;4;5;2;2;3;4;5;3;1;2;3;1;2;3;1;4;4;2;1;2;1;2;2;5;2;3;4;5;2;3;3;3;1;3;3;2;5;2;4;2;3;3;4;3;3;4;3
120689FTEA004;4;1;5;3;3;3;5;1;3;4;1;2;5;2;1;4;3;1;3;4;1;4;1;3;5;4;5;3;3;4;4;3;2;1;1;2;3;4;2;1;4;3;2;1;2;1;1;2;5;4;2;3;5;2;1;5;4;1;3;2;1;4;2;3;4;1;2;2;3;2;5;4
120689MBEL190;4;1;5;1;1;1;1;1;1;4;1;3;4;2;2;4;4;4;2;2;4;2;2;1;1;5;1;3;3;5;5;5;1;1;3;3;3;3;3;4;2;4;4;2;4;5;5;5;5;5;5;3;2;1;5;4;3;2;1;1;1;5;5;5;5;4;2;2;1;3;4;4
120695MPAG197              ;4;3;2;3;2;3;5;1;2;3;1;1;5;5;3;4;3;1;4;4;2;1;2;4;5;3;4;3;4;3;5;4;3;1;1;2;3;4;3;3;4;4;4;1;4;2;1;1;5;1;3;4;4;5;2;3;3;1;4;3;1;5;3;4;4;2;2;3;4;4;5;3
120787MFPP167;3;2;3;2;2;3;4;1;2;4;2;2;2;4;3;3;3;1;4;3;2;1;2;4;5;3;4;4;3;3;4;5;4;1;2;1;5;3;4;1;1;1;2;1;5;3;1;2;1;1;3;3;4;5;5;4;3;1;1;1;1;4;5;4;5;2;1;5;3;2;4;1
120986MFGL126;2;2;1;1;1;2;2;1;4;4;2;2;2;2;4;2;4;4;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;2;1;2;2;1;1;2;2
130189FPSR163;3;2;4;3;1;3;4;1;2;3;2;2;2;3;3;3;3;2;3;4;2;2;2;4;3;4;3;3;3;4;4;2;3;2;2;2;3;2;2;2;3;3;1;3;4;2;1;1;1;2;3;3;2;4;3;4;4;1;3;3;1;2;4;3;4;4;1;3;3;2;2;3
130390FFGL198;2;4;2;2;2;3;4;2;2;3;2;2;4;3;3;3;2;2;4;2;2;2;2;3;4;3;2;3;2;3;4;5;3;2;2;2;4;4;2;2;2;3;2;2;4;3;2;2;4;2;4;3;4;4;2;3;3;2;2;2;3;4;4;2;2;2;4;4;3;2;4;2
130673FEPV242;4;4;5;4;2;2;5;1;3;2;1;2;2;4;4;4;2;2;4;4;4;2;2;4;4;4;4;4;5;2;5;5;3;1;1;2;5;4;4;2;2;2;3;2;2;2;4;2;4;4;2;2;4;2;3;4;3;2;2;2;2;4;4;4;4;2;2;2;2;4;4;2
130690FPCF281;1;4;3;2;3;3;3;3;2;3;2;2;4;3;3;4;4;3;3;3;3;3;3;2;4;3;4;3;2;3;4;3;3;2;2;4;2;3;4;2;2;2;2;2;2;4;3;2;2;4;3;3;3;4;3;3;3;2;2;3;3;2;4;3;4;3;2;4;3;2;3;4
130890FPAP074;3;2;4;2;2;2;5;1;4;3;1;2;4;5;3;3;3;2;3;4;2;2;1;3;5;3;4;2;3;3;5;3;3;1;2;2;4;4;4;1;3;3;2;2;3;3;2;2;4;1;3;4;4;5;3;3;2;1;3;3;1;4;3;4;4;2;4;4;3;2;4;2
131093FTCS105;2;3;4;4;3;2;4;1;2;3;1;4;3;2;2;3;3;4;4;4;4;3;2;4;4;2;3;2;2;3;2;4;3;2;2;3;2;2;4;3;2;3;2;2;2;4;2;2;3;2;4;4;4;4;4;4;4;3;2;2;3;3;4;4;4;2;2;4;2;3;4;2
131183FTCA242;1;2;4;2;2;3;4;3;3;2;1;1;2;4;3;3;4;2;3;2;2;2;2;3;4;3;4;2;4;4;2;5;2;1;1;2;4;4;4;2;2;3;2;2;4;2;2;2;2;2;3;4;4;4;3;4;2;2;2;3;2;4;4;4;4;2;2;4;3;2;2;3
131296FFSM121;1;4;5;5;2;3;1;2;3;4;1;4;1;3;4;5;1;3;5;3;3;2;2;5;5;2;3;4;2;3;1;1;3;1;2;4;2;4;3;1;4;4;1;2;3;1;2;1;4;3;3;3;4;3;1;5;3;2;4;5;1;3;2;5;2;5;2;4;2;5;4;4
140289FBBA163;2;4;3;3;2;2;3;3;4;2;2;2;2;4;3;4;3;2;4;3;2;2;2;4;3;3;4;2;2;3;2;3;2;2;2;4;2;4;2;4;4;4;4;2;2;2;2;2;3;2;2;3;4;4;2;3;2;3;2;2;3;4;4;4;2;4;3;2;4;4;3;4
140389FETL112;1;3;4;2;1;3;4;2;2;3;2;1;4;3;4;4;4;2;3;4;2;2;3;4;4;4;3;2;3;3;4;3;4;2;2;3;3;3;4;2;3;3;2;2;3;1;2;2;4;3;2;3;2;3;2;4;3;2;2;3;2;4;4;3;4;2;4;4;3;3;4;2
140789FEUP276;2;2;3;2;2;2;5;2;2;3;2;1;4;4;4;4;3;2;4;4;2;2;2;3;5;4;4;3;2;4;4;4;3;2;2;3;3;3;5;2;2;2;2;1;5;2;2;2;4;2;2;4;2;4;3;4;2;2;2;2;2;4;4;2;4;2;4;4;3;2;5;2
141084FCMN267;1;4;2;4;1;1;4;3;4;4;1;2;4;4;4;4;3;2;4;3;2;4;4;4;4;4;2;2;4;2;5;5;2;1;1;1;4;2;3;1;2;4;1;1;5;1;2;4;3;4;1;3;3;2;4;4;3;1;1;1;1;3;5;3;4;5;1;5;3;4;3;5
141287MTRA115;2;1;4;1;1;1;5;1;5;3;1;1;5;3;2;4;4;1;3;3;2;1;1;3;5;3;2;3;3;3;4;3;3;2;3;3;3;3;2;2;1;3;3;3;2;3;2;2;3;3;3;3;3;2;3;3;2;2;1;3;3;4;2;4;2;2;2;2;3;3;3;4
150288FFTS214;2;2;2;4;3;3;4;4;2;2;2;3;2;2;2;3;3;4;3;3;3;3;3;3;4;2;2;1;4;2;3;3;3;3;2;4;3;3;2;2;4;4;4;3;2;2;3;2;4;3;3;3;4;3;3;2;4;2;4;4;2;4;2;3;5;3;2;2;3;4;2;4
150581FCAF205;2;2;2;1;1;2;4;1;4;4;1;1;4;5;4;4;4;2;4;4;2;1;1;1;4;4;4;4;2;3;2;4;4;1;1;1;4;4;4;1;1;1;2;2;5;2;1;1;2;2;1;3;4;4;4;2;2;1;1;2;2;4;4;4;2;1;2;4;2;2;2;2
150675MOAS009;4;3;4;1;2;3;4;2;2;5;1;3;4;2;3;4;5;2;2;4;1;1;1;4;5;5;4;3;3;4;4;4;2;1;1;2;5;3;3;1;2;3;2;2;3;1;1;1;5;1;1;5;5;5;3;5;2;1;3;3;1;5;5;2;5;2;4;4;3;1;4;3
150989FBEP108;1;3;4;1;2;3;4;1;3;3;2;2;4;2;3;4;4;2;5;4;2;2;2;3;3;4;4;4;4;4;4;4;3;1;2;3;5;2;2;2;3;4;3;2;3;2;2;2;4;3;2;4;4;3;2;4;2;2;3;3;1;5;3;1;2;2;3;3;3;4;3;3
160389FEGM402;2;2;4;1;2;3;4;2;4;2;1;2;4;4;4;4;4;1;4;3;2;2;2;4;4;3;4;3;3;3;4;4;4;1;2;2;4;2;2;1;2;3;1;1;3;2;1;2;4;3;2;4;4;3;1;4;3;1;2;2;1;4;4;4;2;2;4;4;2;3;3;2
160488FLPL288;2;4;1;2;2;3;4;2;2;2;1;2;4;4;2;3;4;1;3;4;2;2;2;4;4;3;4;3;3;3;4;4;3;5;4;1;2;4;3;2;3;3;2;3;3;2;2;2;4;2;3;3;4;4;3;3;3;2;2;3;2;4;4;4;3;2;4;4;2;2;4;2
160590FLFB335;3;2;4;2;1;3;4;2;4;3;2;2;4;4;3;4;4;1;3;4;2;2;1;3;4;3;4;3;4;3;4;4;3;1;1;1;3;3;4;2;1;3;2;2;4;3;2;2;4;2;3;4;4;4;3;4;3;2;2;2;2;4;4;4;2;2;4;4;3;2;4;2
160788FCNH140;1;3;3;3;1;3;4;3;4;3;1;1;5;4;3;4;3;1;4;5;3;1;1;4;5;4;5;5;5;3;5;5;3;1;1;4;3;3;4;5;1;1;2;2;3;3;1;2;5;1;3;4;5;5;3;5;3;1;1;1;1;4;5;4;2;2;4;5;3;4;5;3
160990FEARO82;4;2;4;2;2;2;4;2;2;2;2;2;4;4;2;3;2;2;4;4;2;2;2;4;4;4;4;2;2;4;4;4;2;2;2;2;4;4;2;2;2;2;2;2;4;4;2;2;4;2;4;4;4;4;2;4;4;2;2;2;2;4;4;4;4;2;4;4;2;2;4;2
161096FBGP107;2;4;3;4;3;3;4;2;3;2;4;2;2;4;2;4;2;2;4;4;4;3;2;4;3;2;4;1;2;4;4;2;5;3;3;4;3;5;4;3;4;4;3;1;4;1;4;2;4;4;2;4;5;2;4;5;2;3;2;2;3;5;5;4;4;1;2;3;3;5;3;4
170289MOAA052;2;2;3;1;1;2;5;2;4;3;1;2;4;4;3;3;4;2;3;3;2;2;1;3;4;4;5;4;3;3;4;4;3;1;2;2;2;3;4;1;1;3;2;1;5;3;2;2;1;1;3;3;4;4;3;3;2;1;1;3;2;4;4;3;2;2;4;4;3;2;4;4
170587FLMG299;4;4;3;2;2;2;4;2;2;4;2;2;2;2;3;3;2;2;4;4;2;2;4;4;5;2;2;4;4;4;5;4;3;1;1;2;2;4;2;1;3;2;4;1;2;1;1;1;5;3;4;3;5;4;4;4;2;1;1;1;1;4;3;5;5;2;1;5;1;4;3;2
170590MFCM065;2;3;4;3;3;3;4;1;3;3;2;2;3;4;4;4;3;2;3;4;2;2;2;3;3;4;4;4;4;4;2;4;3;2;2;2;3;4;4;3;3;3;2;2;4;4;2;2;3;2;3;3;4;4;3;4;3;2;2;2;2;3;4;3;3;2;3;4;3;3;3;3
170880MFMS285;2;4;2;3;3;3;5;3;3;2;4;4;3;2;2;2;2;5;5;4;2;3;2;5;5;3;4;3;5;1;5;5;1;1;1;5;5;1;1;5;4;5;5;4;1;1;1;2;3;2;4;5;5;4;1;5;5;1;3;3;1;1;2;5;1;5;1;1;5;5;3;5
170888FLPF134;4;4;3;4;1;1;2;2;3;5;1;1;5;5;4;4;5;1;3;4;2;2;1;3;5;5;5;4;4;4;4;4;3;1;1;1;3;4;4;2;2;2;2;1;3;3;2;1;5;1;3;4;5;5;3;5;2;1;1;1;1;4;5;3;2;1;3;3;2;4;4;4
170988FOGE384;2;2;4;2;1;1;2;3;4;3;2;2;2;5;3;4;4;2;3;3;2;2;1;4;4;4;4;3;4;2;4;4;3;1;1;2;4;4;3;1;2;2;1;1;5;3;2;2;4;2;4;4;4;4;3;4;3;2;2;3;2;3;4;4;4;2;2;2;3;2;2;3
180276MRAD198;3;2;3;2;2;2;2;2;3;4;1;2;5;4;3;4;5;2;3;3;2;2;2;1;4;3;4;5;4;3;5;5;3;1;1;2;4;4;5;2;2;3;3;2;4;2;2;1;5;2;2;5;4;5;3;4;2;1;2;1;1;4;4;5;4;1;2;4;2;2;3;2
180289MFGF119;2;3;4;4;3;3;2;2;2;3;2;2;4;4;3;4;4;2;3;4;3;2;2;4;5;5;4;4;4;3;4;4;2;2;2;2;3;2;4;2;4;2;4;4;2;3;2;2;4;3;3;4;4;3;4;3;2;2;3;2;2;4;3;5;4;2;3;3;3;3;4;4
