"subject","sex","age","education","job","mother_tongue","mother_tongue_details","handedness","glasses","BIS_V","BIS_N","BIS_F","BIS_PC","BIS_M","BIS_PS","BIS_C","BIS_IQ","WMC_MU","WMC_OpSp","WMC_SenSp","WMC_Binding","miniq_sum","miniq_1","miniq_2","miniq_3","miniq_odd","miniq_even","SMS_RT","SMS_a","SMS_v","SMS_t0","SMS_st0","CRT_RT","CRT_a","CRT_v","CRT_t0","CRT_st0","PLM_RT","PLM_a","PLM_v","PLM_t0","PLM_st0","BIS_V_z","BIS_N_z","BIS_F_z","BIS_PC_z","BIS_M_z","BIS_PS_z","BIS_C_z","BIS_IQ_z","WMC_MU_z","WMC_OpSp_z","WMC_SenSp_z","WMC_Binding_z","miniq_1_z","miniq_2_z","miniq_3_z","SMS_v_z","CRT_v_z","PLM_v_z","age_z","SMS_RT_z","CRT_RT_z","PLM_RT_z"
87,"w",29,5,5,1,"deu",2,1,107.8,94.4,102.4,102.17,106.33,105.67,91.33,100,0.422222222,0.812301587,0.731269841,0.827357143,42,0.636363636,0.666666667,0.666666667,0.636363636,0.65625,0.871596739,1.4075,1.495,0.518,0.0217,0.476907216,1.218,5.2432,0.3581,0.1624,0.754605882,1.6104,2.5856,0.4566,0.1502,0.499028094,-0.586991373,0.783209577,0.078828793,1.081133853,0.63358646,-0.979095281,0.274590589,-1.027461598,0.27252096,-0.969703006,-0.30632368,0.192167934,0.271920958,0.382736358,-1.255468721,-0.624322184,-0.945435678,-0.207352627,-0.243325526190453,1.81173168752195,0.356983306199698
88,"w",22,5,3,1,"deu",2,2,104.4,98.4,90.6,98.33,90,101.67,100.67,92,0.774444444,0.84047619,0.862539683,0.904785714,56,0.909090909,0.904761905,0.80952381,0.909090909,0.84375,0.669297753,1.3491,1.7595,0.3547,0.0375,0.430572917,1.1695,2.7473,0.2211,0.005,0.639467925,0.9341,2.6889,0.4842,0.2832,-0.078640614,-0.018407395,-0.962893286,-0.460336082,-1.199294809,0.074057636,0.360921036,-0.479187498,0.714211108,0.488576659,0.193006071,0.394814593,1.909413303,1.612376386,1.246979746,-0.872065144,-2.182552694,-0.802397988,-0.70297598,-1.14171227345979,0.906398900989536,-0.563499190479068
89,"w",53,4,5,1,"deu",1,2,104,97.2,91.8,105.17,89,92.33,96.67,92,0.585555556,0.763888889,0.846349206,0.810714286,29,0.454545455,0.476190476,0.428571429,0.454545455,0.4375,0.910838889,1.1766,2.255,0.6803,0.2175,0.40309375,0.8073,4.2516,0.3141,0.0375,0.773952174,1.0249,2.723,0.6206,0.1902,-0.146601639,-0.188982588,-0.785323503,0.500051351,-1.33894139,-1.232442167,-0.212961755,-0.479187498,-0.219808951,-0.098729678,0.049600592,-0.457029599,-0.952662312,-0.800443384,-1.057669289,-0.15381761,-1.243394012,-0.755180319,1.49192744,-0.06905560921541,0.369479353945141,0.511649270627367
91,"w",33,5,5,1,"deu",2,1,92,86.8,85.2,85.17,90,95,84.67,71,0.285555556,0.451587302,0.877301587,0.682071429,29,0.5,0.428571429,0.476190476,0.484848485,0.4375,0.856821839,1.4357,1.4214,0.4675,0.0375,0.35953,1.1931,7.6001,0.2813,0.1192,0.714874138,1.3762,2.7294,0.4818,0.2175,-2.185432373,-1.66730093,-1.761957308,-2.308099038,-1.199294809,-0.858956677,-1.934610129,-2.457854974,-1.703252581,-2.493600611,0.323758112,-1.621928155,-0.66645475,-1.06853447,-0.76958816,-1.362154934,0.84712839,-0.746318351,0.075860717,-0.308939173666816,-0.481719261993806,0.0393437035226973
92,"w",32,4,2,1,"deu",2,2,102,95.6,93.6,100.33,98.67,94.67,91.33,91,0.873333333,0.825,0.903333333,0.842857143,37,0.590909091,0.571428571,0.571428571,0.575757576,0.5625,0.781293878,1.7279,2.605,0.4611,0.2366,0.407989362,1.4348,4.0458,0.2344,0.1413,0.692877477,1.0978,2.9714,0.5146,0.243,-0.486406761,-0.416416179,-0.518968829,-0.179521043,0.011441045,-0.905117805,-0.979095281,-0.573409759,1.203198083,0.369898179,0.554331616,-0.165966663,-0.094039627,-0.264261213,-0.193425901,0.353521717,-1.371878261,-0.411225214,0.005057381,-0.64435024295747,0.465135447797809,-0.136510914393412
93,"m",21,5,4,1,"deu",2,2,104.4,102.2,101.4,103.5,94,103.33,109,102,0.694444444,0.703174603,0.777619048,0.976214286,36,0.545454545,0.571428571,0.571428571,0.545454545,0.5625,0.552948352,0.5968,3.3483,0.486,0.1857,0.335387755,0.6735,8.3276,0.2955,0.0581,0.514786486,0.7876,3.4706,0.4141,0.1089,-0.078640614,0.521747384,0.635234758,0.265570794,-0.640708487,0.306262098,1.556031949,0.46303511,0.31862614,-0.5643145,-0.559169689,1.041621126,-0.380247189,-0.264261213,-0.193425901,1.430965495,1.301318339,0.280008232,-0.773779316,-1.65840670667423,-0.953438191830172,-1.56027805689774
94,"w",23,7,4,1,"deu",2,2,100.2,102,99.6,107.33,103,100.67,84.67,98,0.771111111,0.885714286,0.901587302,0.971428571,44,0.681818182,0.714285714,0.666666667,0.696969697,0.6875,0.743795,1.6479,3.1176,0.4801,0.0825,0.310040404,0.852,9.4346,0.2671,0.0159,0.635861864,0.732,4.1383,0.5604,0.2718,-0.792231371,0.493318185,0.368880084,0.803331593,0.616110739,-0.06582457,-1.934610129,0.086146067,0.697728403,0.835483001,0.538866326,0.998285082,0.478375496,0.540012044,0.382736358,1.096556401,1.992436242,1.20456066,-0.632172644,-0.810878487605566,-1.44870386774005,-0.592328224091815
96,"w",23,5,4,1,"deu",2,1,100,92,94.6,91.67,87.67,101.33,105.33,88,0.606666667,0.9,0.825396825,0.8285,43,0.681818182,0.714285714,0.619047619,0.666666667,0.6875,0.624157292,0.9423,3.3815,0.4943,0.1778,0.35848,0.7304,5.4858,0.2947,0.0026,0.610577679,1.2005,3.4062,0.4361,0.2211,-0.826211883,-0.928141759,-0.37099401,-1.395450161,-1.524671342,0.026497686,1.029494488,-0.856076541,-0.115418474,0.945032368,-0.13598296,-0.295974777,0.478375496,0.540012044,0.094655228,1.479090254,-0.472863103,0.190834686,-0.632172644,-1.34217591754364,-0.502235368773776,-0.794465298100239
97,"w",19,5,4,1,"deu",2,1,105,109.6,103.4,113.17,97.33,102.33,104,109,0.821111111,0.865079365,0.941269841,0.95,43,0.681818182,0.666666667,0.666666667,0.696969697,0.65625,0.713832979,1.079,2.4512,0.5222,0.1642,0.378949495,0.7922,7.8863,0.3284,0.0781,0.618598291,1.2991,4.7553,0.4874,0.1425,0.023300923,1.573627742,0.931184396,1.623311507,-0.175685373,0.166379892,0.83867846,1.122590936,0.944969008,0.677245021,0.89035032,0.804243128,0.478375496,0.271920958,0.382736358,0.130582322,1.025807652,2.058909691,-0.915385988,-0.943936409051626,-0.102278849581346,-0.730343672608381
98,"w",27,6,5,1,"deu",2,1,90,90.6,91.6,94.33,96.33,88,80.67,78,0.232222222,0.537777778,0.535238095,0.586928571,25,0.409090909,0.380952381,0.380952381,0.333333333,0.4375,0.879773626,0.977,2.1282,0.7212,0.108,0.38694898,0.6735,7.0921,0.3419,0.0743,0.700604425,1.2677,2.6541,0.4811,0.1991,-2.525237496,-1.127146151,-0.814918467,-1.021966159,-0.315331954,-1.838132119,-2.50849292,-1.798299149,-1.966975897,-1.832652751,-2.706033964,-2.483474459,-1.238869873,-1.336625555,-1.345750419,-0.337619401,0.52997582,-0.850584935,-0.348959299,-0.207012902682202,0.0540242822708103,-0.0747370166096693
99,"m",21,3,3,1,"deu",2,2,108.4,89.4,90.4,102.33,89.33,101.67,84.67,89,0.273333333,0.882857143,0.950952381,0.563142857,57,0.818181818,0.952380952,0.904761905,0.878787879,0.90625,0.906597531,1.1807,1.1044,0.6208,0.3204,0.357265306,1.0127,4.6082,0.2502,0.0675,0.71625812,1.7947,2.9333,0.4002,0.2074,0.600969631,-1.297721345,-0.99248825,0.101293996,-1.292858018,0.074057636,-1.934610129,-0.76185428,-1.763689178,0.813573126,0.976112418,-2.69886103,1.33699818,1.880467471,1.823142005,-1.821659411,-1.020762897,-0.463981613,-0.773779316,-0.0878909968412521,-0.525969456210908,0.0504080930594899
100,"w",46,7,5,1,"deu",1,2,110.2,106.6,95.2,105,105.33,105.67,99,105,0.721111111,0.626031746,0.843968254,0.685714286,49,0.772727273,0.761904762,0.761904762,0.787878788,0.75,1.070009677,1.3421,1.6161,0.742,0.2889,0.437030612,0.9879,5.2101,0.341,0.0975,0.683987069,1.4313,2.7673,0.4386,0.1275,0.906794241,1.147189759,-0.282209119,0.476182073,0.941487272,0.63358646,0.121324971,0.745701893,0.450487798,-1.155881093,0.028511555,-1.588941024,1.050790618,0.808103129,0.958898616,-1.079929314,-0.644987047,-0.693838889,0.996304087,0.637803724679704,1.03257676782046,-0.207586215411068
101,"w",27,7,4,1,"deu",2,1,106.4,92.8,96.2,93.33,102.67,101,102,94,0.242222222,0.748095238,0.908730159,0.647571429,34,0.545454545,0.523809524,0.523809524,0.515151515,0.53125,0.944645361,1.6119,2.6925,0.6436,0.2757,0.380585859,1.0248,5.5775,0.2902,0.0896,0.566757627,1.4049,4.2382,0.3956,0.0576,0.261164508,-0.814424964,-0.1342343,-1.162373679,0.570027367,-0.019663442,0.551737064,-0.290742976,-1.917527776,-0.219842593,0.602133445,-1.934335708,-0.380247189,-0.532352298,-0.481507031,0.480356549,-0.415613318,1.34289043,-0.348959299,0.0810750810923103,-0.0703056890528712,-1.14478930870912
104,"w",27,5,4,2,"gr",2,2,96.2,100.4,108.2,101.33,97.33,97.67,110.33,100,0.611111111,0.706746032,0.812063492,0.848857143,33,0.5,0.523809524,0.523809524,0.515151515,0.5,1.100333673,2.1446,2.4249,0.6495,0.0929,0.424112245,1.1866,4.0452,0.2794,0.0375,0.734339655,1.3503,3.7164,0.5458,0.2475,-1.471841616,0.265884594,1.641463527,-0.039113523,-0.175685373,-0.485471187,1.746847977,0.274590589,-0.093441534,-0.536927154,-0.254081581,-0.111634915,-0.66645475,-0.532352298,-0.481507031,0.092459395,-1.372252851,0.620363162,-0.348959299,0.772469135858029,0.780162866111098,0.194962824741801
105,"w",19,5,4,1,"deu",2,2,111.6,108,105.4,110.33,101.33,110,109.67,113,0.791111111,0.991666667,0.955555556,0.964285714,40,0.590909091,0.666666667,0.619047619,0.636363636,0.59375,1.110985,2.1961,2.302,0.6278,0.3151,0.375232323,0.8012,5.944,0.3096,0.094,0.645531034,1.2669,3.4773,0.4679,0.2663,1.144657827,1.346194151,1.227134034,1.224554152,0.382900949,1.239276412,1.652157316,1.499479979,0.796624645,1.647974158,1.016884566,0.933604431,-0.094039627,0.271920958,0.094655228,-0.085689186,-0.186801474,0.289285604,-0.915385988,0.819770465473354,-0.17490922831612,-0.515027028427804
106,"w",23,5,4,1,"deu",2,2,100.4,91,83,85.83,97.33,102,86.33,79,0.143333333,0.591190476,0.54968254,NA,13,0.227272727,0.142857143,0.238095238,0.181818182,0.21875,1.070233824,1.2192,0.9505,0.7555,0.2341,0.42706,1.1994,3.9327,0.2788,0.0045,0.946351724,1.7072,2.669,0.6125,0.5144,-0.758250859,-1.070287753,-2.08750191,-2.215430075,-0.175685373,0.120218764,-1.69644877,-1.704076888,-2.406514751,-1.423059834,-2.578093784,NA,-2.383700119,-2.677080983,-2.209993807,-2.044743761,-1.44248841,-0.829953167,-0.632172644,0.638799135967827,0.837759491197945,1.88991558996371
107,"w",22,5,4,1,"deu",2,1,100,95.4,94,102.33,95.33,88,94.33,90,0.497777778,0.764206349,0.822539683,0.869071429,28,0.454545455,0.428571429,0.428571429,0.424242424,0.4375,0.942342529,1.3973,1.3423,0.5702,0.2808,0.325414141,0.7308,7.3936,0.2773,0.076,0.623626271,1.4348,4.1339,0.4491,0.1987,-0.826211883,-0.444845378,-0.459778902,0.101293996,-0.454978535,-1.838132119,-0.548683188,-0.667632019,-0.65385357,-0.09629525,-0.161289801,0.071411335,-0.952662312,-1.06853447,-1.057669289,-1.476813622,0.718207119,1.198468057,-0.70297598,0.0708484665605515,-1.14831412497893,-0.690146958125677
108,"w",58,4,2,1,"deu",2,1,104.2,91.8,90.2,98,92.33,87.33,101.33,87,0.194444444,NA,NA,0.636857143,28,0.454545455,0.380952381,0.476190476,0.424242424,0.4375,1.138550549,1.3763,1.9189,0.8158,0.2232,0.46286,0.9663,4.4044,0.3575,0.0675,0.847269828,1.3176,2.6302,0.6146,0.1692,-0.112621126,-0.956570958,-1.022083213,-0.506670563,-0.873918277,-1.931853197,0.455611697,-0.950298802,-2.153779911,NA,NA,-2.03135669,-0.952662312,-1.336625555,-0.76958816,-0.641008319,-1.147998514,-0.883678844,1.84594412,0.942185927816817,1.53726103664833,1.09779496022432
109,"w",24,7,4,1,"deu",2,2,106.4,101.4,106.2,107.5,103,106.33,99,106,0.887777778,0.856269841,0.961904762,0.947642857,50,0.772727273,0.80952381,0.761904762,0.787878788,0.78125,0.942607292,1.1292,2.6532,0.7592,0.1575,0.369888889,0.9077,7.3027,0.3084,0.0319,0.653593043,1.142,4.7611,0.5316,0.1969,0.261164508,0.408030588,1.345513889,0.827200872,0.616110739,0.725908716,0.121324971,0.839924153,1.274623149,0.609689575,1.073122003,0.782898511,1.050790618,1.076194215,0.958898616,0.423389591,0.661456787,2.066940849,-0.561369308,0.0720242488769655,-0.279315383092996,-0.450574450269181
110,"w",23,7,4,1,"deu",2,1,110.8,109.8,107.6,113.17,108.33,112,100.33,115,0.774444444,0.777142857,0.834126984,0.958357143,35,0.545454545,0.523809524,0.571428571,0.545454545,0.53125,0.997012245,2.2876,2.5376,0.5312,0.2902,0.358770833,0.8862,5.2705,0.2761,0.0931,0.699728448,1.4208,2.95,0.4589,0.1486,1.008735778,1.602056941,1.552678635,1.623311507,1.360427014,1.519040824,0.312140999,1.6879245,0.714211108,0.002907791,-0.058656478,0.879919493,-0.380247189,-0.532352298,-0.193425901,0.255822658,-0.607278355,-0.440857417,-0.632172644,0.313630446354451,-0.496552739361262,-0.0817401067895059
111,"w",27,6,4,1,"deu",2,2,110,106,96.6,107.33,108.67,98.33,99.33,105,0.753333333,0.740555556,0.867777778,0.944071429,55,0.772727273,0.904761905,0.904761905,0.848484848,0.875,0.860409184,1.7694,2.0058,0.458,0.0192,0.36101,0.6252,8.5543,0.3268,0.0331,0.633945,2.1375,3.5973,0.3453,0.1778,0.872813729,1.061902162,-0.075044372,0.803331593,1.407906851,-0.393148932,0.168670301,0.745701893,0.609820631,-0.277660312,0.239401957,0.75055819,1.050790618,1.612376386,1.823142005,-0.515043211,1.442850795,0.45544749,-0.348959299,-0.293008183256993,-0.452801321008707,-0.607652794776299
112,"w",22,5,4,1,"deu",2,2,108,103,104.4,103,112,107.67,100,107,0.688888889,0.611031746,0.894444444,0.976214286,43,0.681818182,0.714285714,0.619047619,0.696969697,0.65625,1.14564086,1.4268,1.8324,0.825,0.2993,0.3812,1.1833,5.0841,0.2631,0.0975,0.628236522,1.021,3.3108,0.489,0.0911,0.533008606,0.635464179,1.079159215,0.195367034,1.872929965,0.913350872,0.264795669,0.934146414,0.291154964,-1.270907931,0.475599199,1.041621126,0.478375496,0.540012044,0.094655228,-0.76639361,-0.723650873,0.058735987,-0.70297598,0.973673191111443,-0.0583058963538652,-0.653289822031141
113,"w",29,7,4,1,"deu",2,2,108.2,98.6,96.2,102.5,97.33,99.67,103,99,0.863333333,0.920238095,0.977777778,0.929785714,46,0.727272727,0.714285714,0.714285714,0.727272727,0.71875,0.590844792,1.0249,3.6626,0.4563,0.0896,0.350765306,0.6954,8.4993,0.3108,0.0644,0.552312389,1.1499,3.5911,0.3919,0.0975,0.566989119,0.010021804,-0.1342343,0.125163274,-0.175685373,-0.205706775,0.695207762,0.180368328,1.153749962,1.100227307,1.213715604,0.621196878,0.764583057,0.540012044,0.670817487,1.886556211,1.408513411,0.446862459,-0.207352627,-1.49011293448158,-0.652973926753576,-1.26027328189929
114,"w",27,5,4,1,"deu",2,1,100.6,93.2,78.6,93.17,83.67,92.67,91.33,78,0.771111111,0.828968254,0.755396825,0.863071429,42,0.636363636,0.666666667,0.666666667,0.636363636,0.65625,0.734159596,1.5518,2.7362,0.4699,0.2551,0.36011,0.468,6.7517,0.3329,0.1128,0.625889655,1.403,4.2651,0.4574,0.3172,-0.724270347,-0.757566566,-2.738591113,-1.184838882,-2.083257665,-1.184882217,-0.979095281,-1.798299149,0.697728403,0.40032856,-0.756000736,0.017079587,0.192167934,0.271920958,0.382736358,0.543701488,0.317458625,1.380138386,-0.348959299,-0.8536682189302,-0.470386555391538,-0.672052096886626
115,"w",25,7,4,1,"deu",1,1,101,94.4,98.4,97.33,97,99.67,98.33,93,0.851111111,0.978333333,0.947619048,0.923785714,47,0.727272727,0.761904762,0.714285714,0.757575758,0.71875,0.666333333,1.5039,2.8107,0.4086,0.2477,0.319473684,0.5564,6.3779,0.2779,0.0967,0.56721453,1.0351,3.2862,0.4247,0.1575,-0.656309322,-0.586991373,0.191310302,-0.600743601,-0.221768745,-0.205706775,0.025199603,-0.384965237,1.093313371,1.545728075,0.946587765,0.566865129,0.764583057,0.808103129,0.670817487,0.651692288,0.084089274,0.0246728,-0.490565972,-1.15487692491949,-1.26438560129685,-1.1411365496613
116,"w",27,6,4,1,"deu",2,2,97.4,103.4,93.6,102,102.67,93.67,90.33,93,0.89,0.910952381,0.99047619,0.964285714,43,0.681818182,0.666666667,0.666666667,0.696969697,0.65625,1.321834021,1.5514,2.8388,1.0724,0.3343,0.37324,0.7906,9.1488,0.3314,0.0425,0.656814286,1.3177,4.3139,0.5106,0.1982,-1.267958543,0.692322577,-0.518968829,0.054959515,0.570027367,-1.045000011,-1.122565979,-0.384965237,1.28561162,1.029020219,1.326190477,0.933604431,0.478375496,0.271920958,0.382736358,0.692424388,1.814006706,1.447710887,-0.348959299,1.75612694400318,-0.213837524895347,-0.424821884596602
117,"m",29,7,5,1,"deu",2,1,103.8,102,93.4,107.67,94,94.33,95,96,0.75,0.820238095,0.920634921,0.892857143,27,0.454545455,0.380952381,0.428571429,0.424242424,0.40625,0.939390625,1.8447,2.1473,0.5209,0.4983,0.393777778,0.7589,5.0027,0.3246,0.0375,0.711750862,1.4934,2.4451,0.4165,0.0375,-0.180582151,0.493318185,-0.548563793,0.85107015,-0.640708487,-0.952677755,-0.45255782,-0.102298455,0.593337926,0.333381721,0.707578646,0.286797907,-0.952662312,-1.336625555,-1.057669289,-0.309933169,-0.774470202,-1.139983553,-0.207352627,0.0577393972308054,0.187453186029708,0.0143743453266263
118,"m",22,7,4,1,"deu",2,2,112.8,109.6,95.6,107.5,104,107,104,109,0.924444444,0.826269841,0.980952381,0.8155,44,0.636363636,0.714285714,0.714285714,0.696969697,0.6875,0.638623913,1.1295,2.5154,0.4364,0.2035,0.344773196,0.4363,6.76,0.3185,0.1117,0.537090351,1.0225,3.9963,0.4074,0.1842,1.3485409,1.573627742,-0.223019191,0.827200872,0.75575732,0.819629794,0.83867846,1.122590936,1.455932923,0.379635899,1.241834322,-0.413693565,0.192167934,0.540012044,0.670817487,0.22364285,0.322640449,1.007935761,-0.70297598,-1.27793130198156,-0.770054658751026,-1.38196746432064
119,"m",28,7,5,1,"deu",1,1,105.6,94.4,101.2,102.67,98.67,96.67,101.33,98,0.422222222,0.634126984,0.439365079,0.822642857,27,0.454545455,0.380952381,0.428571429,0.424242424,0.40625,0.657702326,0.7666,2.101,0.5463,0.1696,0.332969697,0.9663,8.4818,0.279,0.0608,0.63322931,0.9419,4.2737,0.5252,0.1593,0.125242459,-0.586991373,0.605639795,0.149032553,0.011441045,-0.625353393,0.455611697,0.086146067,-1.027461598,-1.093803118,-3.555219309,-0.349012913,-0.952662312,-1.336625555,-1.057669289,-0.377046914,1.397587879,1.392046655,-0.278155963,-1.19320624360618,-1.00068498814271,-0.613374453690639
120,"w",25,5,4,1,"deu",2,1,103.2,90.6,95,100,95,94.67,91.67,89,0.625555556,0.83984127,0.935873016,0.814285714,43,0.681818182,0.666666667,0.666666667,0.696969697,0.65625,1.265014583,1.672,1.764,0.8382,0.3139,0.414868687,1.0506,6.174,0.3275,0.152,0.850632743,1.5437,2.0498,0.497,0.1396,-0.282523688,-1.127146151,-0.311804083,-0.225855524,-0.501061906,-0.905117805,-0.930315244,-0.76185428,-0.022016467,0.483707803,0.842548499,-0.424689278,0.478375496,0.271920958,0.382736358,-0.86554221,-0.043208775,-1.6873485,-0.490565972,1.50379829374246,0.599551606154107,1.12468013758872
122,"w",23,7,4,1,"deu",2,2,106,86.2,94,98.5,84.67,98,97.33,87,0.826666667,0.934444444,0.936507937,0.938142857,39,0.590909091,0.619047619,0.619047619,0.606060606,0.59375,0.622710638,0.7371,3.5041,0.5395,0.1973,0.303828283,0.7795,7.9864,0.2589,0.0447,0.570638739,0.9401,2.7752,0.4307,0.1644,0.193203484,-1.752588527,-0.459778902,-0.436466803,-1.943611084,-0.43931006,-0.118271095,-0.950298802,0.972440188,1.209168067,0.848172247,0.696873243,-0.094039627,0.003829873,0.094655228,1.656803973,1.088301692,-0.682899898,-0.632172644,-1.34860034312867,-1.57008342751727,-1.11376135097274
123,"m",19,5,4,1,"deu",2,2,108.2,105,102.4,113.33,100.67,99.67,99,107,0.672222222,0.892063492,0.941428571,0.927357143,54,0.818181818,0.857142857,0.857142857,0.848484848,0.84375,0.83339798,1.6355,1.9276,0.4556,0.0466,0.341206186,0.634,8.181,0.3046,0.0325,0.573010619,1.0305,3.8076,0.4392,0.1311,0.566989119,0.919756168,0.783209577,1.64577671,0.290734206,-0.205706775,0.121324971,0.934146414,0.208741428,0.884171607,0.891756254,0.59920546,1.33699818,1.3442853,1.535060875,-0.628397312,1.209793602,0.746646195,-0.915385988,-0.412961862616456,-0.839750999746472,-1.09479910706022
124,"m",25,7,1,1,"deu",2,2,113,109.2,98.8,107.67,94.67,114.67,110.33,111,0.662222222,0.795555556,0.900793651,0.929785714,47,0.727272727,0.761904762,0.714285714,0.727272727,0.75,0.978019792,1.8986,1.5114,0.4396,0.4253,0.365268041,0.9619,4.3779,0.2589,0.0525,0.690908772,1.1395,2.6215,0.4927,0.0975,1.382521412,1.516769345,0.250500229,0.85107015,-0.547145278,1.892526314,1.746847977,1.311035457,0.159293307,0.14410476,0.531836644,0.621196878,0.764583057,0.808103129,0.670817487,-1.23169625,-1.16454289,-0.895725581,-0.490565972,0.22928712654495,-0.36960282212348,-0.152249933400185
125,"w",23,7,4,1,"deu",2,2,104,111.6,104.4,106,101.67,111.33,108.33,110,0.88,0.844761905,0.920634921,0.908357143,54,0.863636364,0.80952381,0.857142857,0.878787879,0.8125,0.6153,0.8618,2.619,0.4867,0.091,0.299876289,1.0248,10.3401,0.2496,0.0506,0.581040708,0.9655,3.0051,0.4345,0.1275,-0.146601639,1.857919731,1.079159215,0.616589593,0.430380787,1.425319746,1.459906581,1.216813197,1.236163499,0.521441475,0.707578646,0.427154923,1.623205741,1.076194215,1.535060875,0.373815291,2.557754455,-0.364561418,-0.632172644,-1.38151014213286,-1.64730202837232,-1.03060171669596
126,"w",23,5,4,1,"deu",1,2,111,101.8,97.6,108.83,100,101.67,98,104,0.754444444,0.774126984,0.900793651,0.922642857,52,0.818181818,0.857142857,0.761904762,0.848484848,0.78125,0.918646939,1.9483,2.6804,0.5634,0.2678,0.41573,1.0508,5.7121,0.3242,0.1012,0.712235593,1.4348,3.9999,0.5359,0.2431,1.04271629,0.464888986,0.072930446,1.013942873,0.197170997,0.074057636,-0.022145727,0.651479632,0.615314866,-0.020219298,0.531836644,0.556516226,1.33699818,1.3442853,0.958898616,0.462817104,-0.331580374,1.012920618,-0.632172644,-0.0343809487995817,0.616380929467417,0.0182495782447986
127,"m",24,5,4,1,"deu",2,1,109.2,109,89.8,110.67,98,102.33,91.67,102,0.938888889,0.95,0.94047619,0.971428571,38,0.590909091,0.666666667,0.523809524,0.606060606,0.5625,1.186583158,1.854,2.601,0.8221,0.2487,NA,NA,NA,NA,NA,0.818389916,2.0204,3.1021,0.4866,0.2539,0.73689168,1.488340146,-1.081273141,1.272292708,-0.082122164,0.166379892,-0.930315244,0.46303511,1.52735799,1.328455161,0.883320638,0.998285082,-0.094039627,0.271920958,-0.481507031,0.347723554,NA,-0.230247227,-0.561369308,1.1554932716429,NA,0.866911468852118
128,"w",22,5,4,1,"deu",2,1,102.6,92.6,95.2,93.5,96.33,102.67,98,90,0.432222222,0.853571429,0.942857143,0.795285714,39,0.590909091,0.619047619,0.619047619,0.606060606,0.59375,1.121128723,1.3787,1.7656,0.8169,0.2429,0.3682,0.9766,6.0381,0.29,0.1222,0.923585965,1.7902,1.7815,0.4453,0.2477,-0.384465224,-0.842854162,-0.282209119,-1.138504401,-0.315331954,0.213939842,-0.022145727,-0.667632019,-0.978013477,0.588996921,0.904409683,-0.596739815,-0.094039627,0.003829873,0.094655228,-0.863222944,-0.128053331,-2.058858784,-0.70297598,0.864817583560102,-0.312314837439201,1.7079123372648
129,"w",21,5,4,1,"deu",2,1,100.8,85.4,93.6,95.83,88,91.67,95,83,0.488888889,0.834047619,0.905714286,0.860785714,31,0.454545455,0.476190476,0.523809524,0.484848485,0.46875,0.954925,1.6659,1.9675,0.5822,0.1746,0.39489899,0.9006,4.2779,0.2946,0.0825,0.751715517,1.8004,3.2461,0.4635,0.2922,-0.690289834,-1.866305322,-0.518968829,-0.81135488,-1.478587971,-1.324764423,-0.45255782,-1.327187845,-0.697807456,0.439279446,0.575420661,-0.003618228,-0.952662312,-0.800443384,-0.481507031,-0.570560629,-1.226974499,-0.030852963,-0.773779316,0.12672578664905,0.209360714710644,0.333875979468924
130,"w",24,5,4,1,"deu",2,1,109,108.8,96.6,106.5,108.33,105.67,97,106,0.664444444,0.907539683,0.952380952,0.938142857,38,0.590909091,0.619047619,0.571428571,0.606060606,0.5625,0.909225532,1.2591,2.0145,0.6453,0.3226,0.355,1.1357,4.9223,0.2415,0.0526,0.658565812,0.8492,4.3437,0.5698,0.2101,0.702911168,1.459910947,-0.075044372,0.686793352,1.360427014,0.63358646,-0.165616425,0.839924153,0.170281777,1.002850095,0.988765839,0.696873243,-0.094039627,0.003829873,-0.193425901,-0.502432205,-0.824665215,1.488974422,-0.561369308,-0.076220343829622,-0.570231608387389,-0.410819125927906
131,"w",19,5,4,1,"deu",2,2,107.6,103.6,105.2,107.33,96.67,105.33,110.67,108,0.856666667,0.789126984,0.891428571,0.926142857,38,0.545454545,0.619047619,0.619047619,0.606060606,0.5625,0.832821277,1.3013,2.5727,0.597,0.2042,0.312142857,1.0827,9.4891,0.2568,0.0366,0.51362,0.896,4.2379,0.4133,0.1244,0.465047582,0.720751776,1.19753907,0.803331593,-0.267852116,0.58602651,1.795628014,1.028368675,1.120784551,0.09480754,0.448886415,0.588209746,-0.380247189,0.003829873,0.094655228,0.306701545,2.026461469,1.342475025,-0.915385988,-0.415522934931027,-1.40762372464684,-1.56960365180664
132,"w",19,5,4,1,"deu",2,1,100.2,95.6,98,98.5,90.67,103.33,98.67,93,0.238888889,0.695555556,0.730793651,0.917857143,51,0.818181818,0.80952381,0.761904762,0.818181818,0.78125,1.125715464,2.0805,1.5239,0.5003,0.0105,NA,NA,NA,NA,NA,1.0465,1.479,3.5577,0.8422,0.1719,-0.792231371,-0.416416179,0.132120374,-0.436466803,-1.1057316,0.306262098,0.073979641,-0.384965237,-1.934010481,-0.622740825,-0.97392081,0.513180191,1.33699818,1.076194215,0.958898616,-1.213576988,NA,0.400614068,-0.915385988,0.88518677773667,NA,2.69056150667521
